"ym","anomaly"
199311,0.42
199312,-0.98
199401,0.48
199402,-0.31
199403,-2.06
199404,-0.22
199405,0.02
199406,0.77
199407,0.4
199408,-0.77
199409,-0.58
199410,0.35
199411,0.52
199412,2.09
199501,-0.01
199502,-0.7
199503,-0.56
199504,-1.95
199505,0.63
199506,0.89
199507,-0.1
199508,1.88
199509,0.68
199510,0.38
199511,0.88
199512,-1.06
199601,-0.14
199602,-1.65
199603,-0.07
199604,-1.4
199605,0.78
199606,1.79
199607,0.59
199608,0.6
199609,0.52
199610,0.4
199611,-0.99
199612,-0.16
199701,-0.38
199702,2.17
199703,-0.84
199704,0.03
199705,0.67
199706,0.25
199707,-0.31
199708,-0.31
199709,0.89
199710,0.8
199711,2.29
199712,1.73
199801,1.12
199802,0.64
199803,1.77
199804,-0.02
199805,0.26
199806,0.28
199807,0.19
199808,1.49
199809,1.57
199810,-0.65
199811,-0.79
199812,0.81
199901,2.42
199902,-0.12
199903,0.19
199904,-1.75
199905,1.26
199906,0.6
199907,1.51
199908,0.92
199909,2.05
199910,1.43
199911,-2.15
199912,-1.64
200001,-1.42
200002,0.78
200003,0.91
200004,0.45
200005,-0.5
200006,-0.26
200007,0.65
200008,0.21
200009,2.35
200010,-0.1
200011,0.95
200012,0.75
200101,3.07
200102,1.75
200103,-0.16
200104,0.44
200105,-0.32
200106,1.28
200107,0.7
200108,0.26
200109,1.82
200110,-1.04
200111,-0.7
200112,-0.43
200201,0.05
200202,-0.83
200203,0.45
200204,1.86
200205,0.27
200206,0.82
200207,0.58
200208,0.91
200209,1.78
200210,1.22
200211,3.23
200212,1.08
200301,2.19
200302,1.1
200303,-0.58
200304,0.46
200305,0.98
200306,1.27
200307,0.95
200308,0.33
200309,0.96
200310,-1.32
200311,0.93
200312,2.23
200401,0.4
200402,2.04
200403,0.51
200404,1.41
200405,-0.68
200406,0.67
200407,0.26
200408,0.69
200409,0.43
200410,1.38
200411,0.46
200412,0.18
200501,1.04
200502,-0.4
200503,-0.2
200504,3.17
200505,0.68
200506,1.91
200507,1.53
200508,0.57
200509,0.96
200510,1.51
200511,1.4
200512,1.71
200601,3.76
200602,1.9
200603,1.52
200604,-1.05
200605,-1.43
200606,-0.58
200607,0.98
200608,0.85
200609,2.08
200610,2.32
200611,2.07
200612,0.69
200701,1.46
200702,2.11
200703,1.82
200704,1.55
200705,2.51
200706,-1.15
200707,0.07
200708,2.06
200709,1.34
200710,2.2
200711,1.59
200712,0.4
200801,0.85
200802,-1.91
200803,0.33
200804,-1.24
200805,0.25
200806,2.05
200807,0.57
200808,-0.99
200809,1.51
200810,1.88
200811,0.52
200812,0.1
200901,1.87
200902,1.09
200903,0.78
200904,0.33
200905,0.55
200906,1.39
200907,1.1
200908,2.58
200909,1.52
200910,0.46
200911,4.93
200912,1.45
201001,1.41
201002,0.48
201003,0.02
201004,1.12
201005,0.18
201006,0.41
201007,0.87
201008,-0.47
201009,0.16
201010,-0.31
201011,-0.57
201012,-1.2
201101,1.17
201102,0.69
201103,-0.28
201104,-0.53
201105,-1.26
201106,0.42
201107,0.39
201108,1.94
201109,1.12
201110,0.55
201111,1.99
201112,-1.42
201201,-0.17
201202,-1.19
201203,-1.15
201204,0.18
201205,-0.81
201206,0.08
201207,0.58
201208,-0.03
201209,1.04
201210,0.39
201211,2.31
201212,1.62
201301,2.71
201302,0.45
201303,0.64
201304,0.38
201305,0.65
201306,1.05
201307,2.17
201308,1.55
201309,3.59
201310,1.16
201311,0.45
201312,1.33
201401,2.17
201402,1.54
201403,0.73
201404,1.32
201405,1.78
201406,1.24
201407,0.57
201408,0.32
201409,1.09
201410,2.67
201411,3.3
201412,1.37
201501,0.2
201502,1.58
201503,0.8
201504,-0.48
201505,0.38
201506,0.75
201507,0
201508,0.26
201509,0.19
201510,4.41
201511,2.47
201512,2.07
201601,1
201602,1.34
201603,2.68
201604,2.68
201605,1.81
201606,0.99
201607,1.57
201608,0.42
201609,-0.19
201610,-1.18
201611,0.31
201612,2.03
201701,3.29
201702,2.11
201703,2.51
201704,0.16
201705,0.58
201706,0.43
201707,1.27
201708,0.38
201709,1.73
201710,1.97
201711,1.54
201712,1.92
201801,3.27
201802,1.43
201803,1.58
201804,3.19
201805,0.42
201806,0.43
201807,1.14
201808,0.44
201809,1.04
201810,2.42
201811,1.23
201812,2.87
201901,5.4
201902,1.38
201903,2.05
201904,1.76
201905,0.84
201906,0.62
201907,1.81
201908,0.12
201909,1.33
201910,2.17
201911,1.04
201912,3.32
202001,3.06
202002,0.21
202003,-0.29
202004,-0.02
202005,-0.82
202006,0.52
202007,0.78
202008,0.2
202009,2.22
202010,1.4
202011,3.42
202012,0.45
202101,0.33
202102,-0.22
202103,-0.57
202104,-0.8
202105,0.1
202106,0.84
202107,0.98
202108,1.34
202109,1.04
202110,0.2
202111,-0.5
202112,0.3
202201,1.84
202202,-0.35
202203,1.23
